Date,Symbol,Open,Volume,high,Investments,Earnings per share,gross profit
2016-10-14,WLTW,128.690002,548000.0,129.199997,3000000,7.23,3829000000
2016-10-17,WLTW,128.649994,564500.0,128.649994,3000000,7.23,3829000000
2016-10-18,WLTW,128.550003,505600.0,129.289993,3000000,7.23,3829000000
2016-10-19,WLTW,128.460007,435600.0,129.429993,3000000,7.23,3829000000
2016-10-20,WLTW,127.379997,554800.0,128.630005,3000000,7.23,3829000000
2016-10-21,WLTW,126.339996,496600.0,127.25,3000000,7.23,3829000000
2016-10-24,WLTW,127.330002,312000.0,128.240005,3000000,7.23,3829000000
2016-10-25,WLTW,127.089996,414700.0,127.089996,3000000,7.23,3829000000
2016-10-26,WLTW,126.129997,478300.0,126.919998,3000000,7.23,3829000000
2016-10-27,WLTW,126.650002,417000.0,127.160004,3000000,7.23,3829000000
2016-10-28,WLTW,125.889999,445700.0,126.720001,3000000,7.23,3829000000
2016-10-31,WLTW,126.260002,459200.0,126.82,3000000,7.23,3829000000
2016-11-01,WLTW,126.519997,475800.0,126.860001,3000000,7.23,3829000000
2016-11-02,WLTW,124.489998,693200.0,124.639999,3000000,7.23,3829000000
2016-11-03,WLTW,123.120003,736700.0,125.040001,3000000,7.23,3829000000
2016-11-04,WLTW,120.239998,3531200.0,120.239998,3000000,7.23,3829000000
2016-11-07,WLTW,119.120003,1345600.0,119.120003,3000000,7.23,3829000000
2016-11-08,WLTW,117.129997,967600.0,119.510002,3000000,7.23,3829000000
2016-11-09,WLTW,117.010002,1291600.0,119.230003,3000000,7.23,3829000000
2016-11-10,WLTW,118.669998,1524500.0,122.980003,3000000,7.23,3829000000
2016-11-11,WLTW,121.550003,754300.0,121.959999,3000000,7.23,3829000000
2016-11-14,WLTW,120.959999,1089100.0,122.599998,3000000,7.23,3829000000
2016-11-15,WLTW,123.730003,639700.0,123.919998,3000000,7.23,3829000000
2016-11-16,WLTW,123.169998,818400.0,123.169998,3000000,7.23,3829000000
2016-11-17,WLTW,122.790001,524500.0,124.639999,3000000,7.23,3829000000
2016-11-18,WLTW,124.790001,819000.0,125.949997,3000000,7.23,3829000000
2016-11-21,WLTW,125.099998,475900.0,125.459999,3000000,7.23,3829000000
2016-11-22,WLTW,124.370003,1011700.0,125.400002,3000000,7.23,3829000000
2016-11-23,WLTW,124.82,380200.0,125.550003,3000000,7.23,3829000000
2016-11-25,WLTW,124.550003,284000.0,125.419998,3000000,7.23,3829000000
2016-11-28,WLTW,124.82,439900.0,125.190002,3000000,7.23,3829000000
2016-11-29,WLTW,124.760002,352900.0,124.839996,3000000,7.23,3829000000
2016-11-30,WLTW,125.5,676700.0,126.0,3000000,7.23,3829000000
2016-12-01,WLTW,125.099998,898700.0,125.370003,3000000,7.23,3829000000
2016-12-02,WLTW,121.43,855800.0,121.559998,3000000,7.23,3829000000
2016-12-05,WLTW,120.690002,604700.0,122.059998,3000000,7.23,3829000000
2016-12-06,WLTW,121.480003,1301200.0,124.919998,3000000,7.23,3829000000
2016-12-07,WLTW,124.900002,928300.0,125.519997,3000000,7.23,3829000000
2016-12-08,WLTW,125.190002,988500.0,125.910004,3000000,7.23,3829000000
2016-12-09,WLTW,122.800003,943400.0,123.300003,3000000,7.23,3829000000
2016-12-12,WLTW,122.639999,822500.0,122.970001,3000000,7.23,3829000000
2016-12-13,WLTW,126.449997,1168200.0,126.93,3000000,7.23,3829000000
2016-12-14,WLTW,124.0,846400.0,124.889999,3000000,7.23,3829000000
2016-12-15,WLTW,122.800003,826600.0,123.230003,3000000,7.23,3829000000
2016-12-16,WLTW,122.440002,1232700.0,123.370003,3000000,7.23,3829000000
2016-12-19,WLTW,122.32,937600.0,123.970001,3000000,7.23,3829000000
2016-12-20,WLTW,124.330002,651500.0,124.489998,3000000,7.23,3829000000
2016-12-21,WLTW,123.900002,614600.0,124.150002,3000000,7.23,3829000000
2016-12-22,WLTW,122.519997,557200.0,123.690002,3000000,7.23,3829000000
2016-12-23,WLTW,123.089996,361900.0,124.660004,3000000,7.23,3829000000
2016-12-27,WLTW,124.57,382900.0,124.900002,3000000,7.23,3829000000
2016-12-28,WLTW,124.300003,429900.0,124.300003,3000000,7.23,3829000000
2016-12-29,WLTW,122.449997,216600.0,123.07,3000000,7.23,3829000000
2016-12-30,WLTW,122.589996,466400.0,123.559998,3000000,7.23,3829000000
