Date,Price,Open,High,Low,Change%
"Aug 13, 2015",65.203,64.855,65.34,64.63,0.54%
"Aug 12, 2015",64.855,64.354,64.96,64.28,0.81%
"Aug 11, 2015",64.332,63.773,64.392,63.751,0.88%
"Aug 10, 2015",63.773,63.744,63.92,63.707,0.05%
"Aug 07, 2015",63.739,63.722,63.97,63.701,0.03%
"Aug 06, 2015",63.722,63.692,63.83,63.65,0.05%
"Aug 05, 2015",63.692,63.798,63.94,63.65,-0.17%
"Aug 04, 2015",63.798,64.178,64.178,63.68,-0.59%
"Aug 03, 2015",64.177,63.996,64.19,63.93,0.30%
"Jul 31, 2015",63.988,64.152,64.22,63.864,-0.23%
"Jul 30, 2015",64.138,63.826,64.16,63.82,0.50%
"Jul 29, 2015",63.821,63.8,63.95,63.767,0.03%
"Jul 28, 2015",63.799,64.232,64.243,63.74,-0.63%
"Jul 27, 2015",64.202,64.16,64.27,64,0.15%
"Jul 24, 2015",64.106,63.922,64.18,63.826,0.29%
"Jul 23, 2015",63.921,63.57,63.93,63.57,0.55%
"Jul 22, 2015",63.571,63.567,63.68,63.49,-0.02%
"Jul 21, 2015",63.583,63.6,63.76,63.537,-0.03%
"Jul 20, 2015",63.6,63.483,63.75,63.47,0.17%
"Jul 17, 2015",63.492,63.487,63.54,63.375,0.05%
"Jul 16, 2015",63.463,63.508,63.564,63.42,-0.07%
"Jul 15, 2015",63.507,63.278,63.61,63.278,0.36%
"Jul 14, 2015",63.281,63.45,63.6,63.265,-0.27%
"Jul 13, 2015",63.45,63.359,63.6,63.315,0.15%
"Jul 10, 2015",63.358,63.318,63.49,63.308,0.06%
"Jul 09, 2015",63.318,63.456,63.59,63.29,-0.22%
"Jul 08, 2015",63.459,63.476,63.66,63.453,-0.03%
"Jul 07, 2015",63.476,63.263,63.582,63.26,0.34%
"Jul 06, 2015",63.264,63.427,63.64,63.254,-0.23%
"Jul 03, 2015",63.411,63.297,63.5,63.297,0.18%
"Jul 02, 2015",63.299,63.553,63.68,63.296,-0.39%
"Jul 01, 2015",63.55,63.609,63.712,63.53,-0.08%
"Jun 30, 2015",63.604,63.707,63.81,63.55,-0.16%
"Jun 29, 2015",63.707,63.523,63.95,63.45,0.40%
"Jun 26, 2015",63.452,63.528,63.67,63.45,-0.10%
"Jun 25, 2015",63.518,63.548,63.65,63.489,-0.01%
"Jun 24, 2015",63.526,63.59,63.71,63.487,-0.13%
"Jun 23, 2015",63.607,63.532,63.695,63.499,0.13%
"Jun 22, 2015",63.523,63.532,63.59,63.44,0.04%
"Jun 19, 2015",63.5,63.579,63.87,63.42,-0.12%
"Jun 18, 2015",63.577,63.905,63.95,63.566,-0.68%
"Jun 17, 2015",64.011,64.166,64.28,63.989,-0.24%
"Jun 16, 2015",64.166,64.081,64.33,63.996,0.13%
"Jun 15, 2015",64.085,64.1,64.2,64,-0.02%
"Jun 12, 2015",64.1,63.985,64.2,63.9,0.22%
"Jun 11, 2015",63.959,63.782,64.03,63.75,0.30%
"Jun 10, 2015",63.766,64.039,64.071,63.76,-0.38%
"Jun 09, 2015",64.01,63.963,64.09,63.85,0.10%
"Jun 08, 2015",63.947,64.111,64.18,63.925,0.28%
"Jun 05, 2015",63.77,63.963,64.035,63.75,-0.30%
"Jun 04, 2015",63.964,63.996,64.27,63.916,-0.05%
"Jun 03, 2015",63.997,63.699,64.08,63.669,0.48%
"Jun 02, 2015",63.689,63.61,63.97,63.59,0.15%
"Jun 01, 2015",63.594,63.733,63.841,63.53,-0.23%
"May 29, 2015",63.743,63.79,63.946,63.68,-0.03%
"May 28, 2015",63.763,63.823,64,63.745,-0.10%
"May 27, 2015",63.826,63.983,64.17,63.82,-0.23%
"May 26, 2015",63.972,63.493,64.02,63.49,0.75%
"May 25, 2015",63.496,63.511,63.68,63.49,0.01%
"May 22, 2015",63.49,63.578,63.681,63.43,-0.14%
"May 21, 2015",63.58,63.612,63.75,63.51,-0.03%
"May 20, 2015",63.598,63.781,63.9,63.555,-0.26%
"May 19, 2015",63.763,63.725,63.85,63.52,0.09%
"May 18, 2015",63.708,63.442,63.75,63.425,0.42%
"May 15, 2015",63.44,63.403,63.662,63.347,0.09%
"May 14, 2015",63.383,64.014,64.063,63.379,-0.98%
"May 13, 2015",64.013,64.146,64.281,63.845,-0.21%
"May 12, 2015",64.147,64.007,64.39,63.998,0.22%
"May 11, 2015",64.007,63.705,64.022,63.705,0.46%
"May 08, 2015",63.711,64.071,64.23,63.657,-0.56%
"May 07, 2015",64.073,63.635,64.29,63.623,0.71%
"May 06, 2015",63.621,63.376,63.685,63.31,0.40%
"May 05, 2015",63.369,63.562,63.62,63.315,-0.23%
"May 04, 2015",63.516,63.692,63.693,63.516,-0.32%
"May 01, 2015",63.719,63.531,63.72,63.5,0.30%
"Apr 30, 2015",63.529,63.44,63.74,63.398,0.11%
"Apr 29, 2015",63.46,63.049,63.502,63.04,0.65%
"Apr 28, 2015",63.053,63.334,63.47,63.027,-0.46%
"Apr 27, 2015",63.346,63.747,63.78,63.346,-0.50%
"Apr 24, 2015",63.662,63.283,63.683,63.215,0.61%
"Apr 23, 2015",63.277,62.968,63.43,62.895,0.47%
"Apr 22, 2015",62.98,62.881,63.02,62.725,0.20%
"Apr 21, 2015",62.854,63.14,63.165,62.75,-0.45%
"Apr 20, 2015",63.137,62.554,63.167,62.5,0.94%
"Apr 17, 2015",62.55,62.317,62.55,62.305,0.37%
"Apr 16, 2015",62.317,62.353,62.407,62.245,-0.07%
"Apr 15, 2015",62.36,62.294,62.46,62.264,0.15%
"Apr 14, 2015",62.268,62.413,62.422,62.21,-0.22%
"Apr 13, 2015",62.407,62.184,62.575,62.18,0.21%
"Apr 10, 2015",62.276,62.301,62.43,62.209,-0.05%
"Apr 09, 2015",62.306,62.201,62.337,62.15,0.18%
"Apr 08, 2015",62.192,62.301,62.372,62.139,-0.17%
"Apr 07, 2015",62.296,62.206,62.425,62.195,0.14%
"Apr 06, 2015",62.207,61.93,62.24,61.93,0.40%
"Apr 03, 2015",61.96,62.078,62.14,61.936,-0.17%
"Apr 02, 2015",62.067,62.163,62.24,62.046,-0.12%
"Apr 01, 2015",62.142,62.291,62.402,62.135,-0.24%
"Mar 31, 2015",62.291,62.514,62.68,62.276,-0.35%
"Mar 30, 2015",62.51,62.534,62.7,62.438,-0.02%
"Mar 27, 2015",62.523,62.84,62.851,62.395,-0.50%
"Mar 26, 2015",62.836,62.43,62.843,62.43,0.68%
"Mar 25, 2015",62.412,62.344,62.454,62.262,0.10%
"Mar 24, 2015",62.348,62.21,62.421,62.14,0.19%
"Mar 23, 2015",62.23,62.415,62.415,62.23,-0.29%
"Mar 20, 2015",62.41,62.525,62.595,62.41,-0.13%
"Mar 19, 2015",62.49,62.39,62.685,62.37,-0.34%
"Mar 18, 2015",62.701,62.651,62.79,62.62,0.12%
"Mar 17, 2015",62.623,62.778,62.85,62.608,-0.25%
"Mar 16, 2015",62.78,63.087,63.138,62.763,-0.48%
"Mar 13, 2015",63.083,62.559,63.126,62.433,0.87%
"Mar 12, 2015",62.542,62.777,62.796,62.408,-0.38%
"Mar 11, 2015",62.781,62.723,62.88,62.7,0.10%
"Mar 10, 2015",62.72,62.641,62.836,62.563,0.14%
"Mar 09, 2015",62.634,62.475,62.8,62.4,0.28%
"Mar 06, 2015",62.46,62.393,62.463,62.3,0.13%
"Mar 05, 2015",62.381,62.309,62.43,62.16,0.12%
"Mar 04, 2015",62.309,61.819,62.391,61.659,0.79%
"Mar 03, 2015",61.819,61.862,61.972,61.772,-0.07%
"Mar 02, 2015",61.862,61.713,62,61.675,0.33%
"Feb 27, 2015",61.659,61.744,61.92,61.658,-0.12%
"Feb 26, 2015",61.731,61.871,62,61.675,-0.21%
"Feb 25, 2015",61.862,62.09,62.113,61.84,-0.50%
"Feb 24, 2015",62.17,62.172,62.36,62.07,0.01%
"Feb 23, 2015",62.163,62.27,62.33,62.117,0.09%
"Feb 20, 2015",62.109,62.14,62.29,62.108,-0.05%
"Feb 19, 2015",62.138,62.064,62.17,62.03,0.13%
"Feb 18, 2015",62.057,62.157,62.361,62.005,-0.16%
"Feb 17, 2015",62.157,62.105,62.27,62.07,0.08%
"Feb 16, 2015",62.105,62.114,62.25,62.07,0.05%
"Feb 13, 2015",62.076,62.14,62.224,62.02,-0.12%
"Feb 12, 2015",62.15,62.382,62.54,62.028,-0.37%
"Feb 11, 2015",62.382,62.327,62.433,62.12,0.09%
"Feb 10, 2015",62.327,62.161,62.374,61.93,0.29%
"Feb 09, 2015",62.149,62.058,62.22,61.95,0.29%
"Feb 06, 2015",61.97,61.703,62.025,61.665,0.42%
"Feb 05, 2015",61.709,61.842,61.95,61.678,-0.22%
"Feb 04, 2015",61.842,61.596,61.91,61.565,0.40%
